PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
15	co	AOI	ko	ryesuta	1
196	co	AOI	ko	ryesuta	1
369	so	motoyama	ol	simada	2
520	so	motoyama	ol	simada	1
662	so	motoyama	ol	simada	1

afMXPGQwfOU	2023-08-06	N	Womble|Series|v. 1.3|EU	
316	ko	Exslide	ak	Edward Yolag	2
452	ko	Exslide	ak	Edward Yolag	1
616	ko	Exslide	ak	Edward Yolag	2
987	ak	Edward Yolag	ay	Logec	2
1118	ak	Edward Yolag	ay	Logec	2
1351	fu	Lozardo	so	FaceBreaker	1
1522	fu	Lozardo	so	FaceBreaker	1
1751	fu	Lozardo	ay	Logec	2
1850	fu	Lozardo	ay	Logec	1
2041	fu	Lozardo	ay	Logec	1
2212	fu	Lozardo	ay	Logec	2
2383	fu	Lozardo	ay	Logec	1
2711	ak	Edward Yolag	so	FaceBreaker	1
2833	ak	Edward Yolag	so	FaceBreaker	1
3068	ay	Logec	ak	Edward Yolag	1
3194	ay	Logec	ak	Edward Yolag	1
3333	ay	Logec	ak	Edward Yolag	1
3524	fu	Lozardo	ay	Logec	2
3688	fu	Lozardo	ay	Logec	2
3869	fu	Lozardo	ay	Logec	2
4002	fu	Lozardo	ay	Logec	2
4122	fu	Lozardo	ay	Logec	2
4221	fu	Lozardo	ay	Logec	2

lkunpgKshk0	2023-08-13	N	Womble|Series|v. 2.0|EU	
876	ak	Edward Yolag	ko	Kemo	1
994	ak	Edward Yolag	ko	Kemo	1
1351	ak	Edward Yolag	fu	Lozardo	2
1544	ak	Edward Yolag	fu	Lozardo	1
1686	ak	Edward Yolag	fu	Lozardo	1
1956	pe	Logec	ko	Exslide	1
2075	pe	Logec	ko	Exslide	1
2364	fu	Lozardo	pe	FaceBreaker	1
2534	fu	Lozardo	pe	FaceBreaker	1
2765	ay	MangoKonata	ko	Exslide	2
2888	ay	MangoKonata	ko	Exslide	2
3077	pe	Logec	ak	Edward Yolag	1
3227	pe	Logec	ak	Edward Yolag	2
3345	pe	Logec	ak	Edward Yolag	1
3541	pe	Logec	ak	Edward Yolag	2
3744	pe	Logec	ak	Edward Yolag	2
4048	fu	Lozardo	ko	Exslide	1
4229	fu	Lozardo	ko	Exslide	1
4849	pe	Logec	fu	Lozardo	1
5048	pe	Logec	fu	Lozardo	1
5254	pe	Logec	ak	Edward Yolag	1
5471	pe	Logec	ak	Edward Yolag	1
5606	pe	Logec	ak	Edward Yolag	1
5700	pe	Logec	ak	Edward Yolag	1
5818	pe	Logec	ak	Edward Yolag	2
6028	pe	Logec	ak	Edward Yolag	2
6171	pe	Logec	ak	Edward Yolag	1
6348	pe	Logec	ak	Edward Yolag	1

